  145     97    275  Travis Sisovsky       Davenport                               28:09.6  3:31/K    SO
  146     98     51  Zane Berlanga         Alma                                    28:09.7  3:31/K    21
  147  (> 7)    612  Gabe Calvillo         St. Francis (Ill.)                      28:10.0  3:31/K    SO
  148  (> 7)     91  Jesus Alvarado        Aquinas                                 28:13.7  3:32/K    SR
  149  (> 7)    558  Matt Molinaro         Ohio Northern                           28:15.3  3:32/K    FR
  150  (> 7)    337  Pierce Sheehan        DePauw                                  28:15.9  3:32/K    FR
  151  (> 7)    628  John Principato       St. Francis (Ill.)                      28:17.2  3:32/K    FR
  152  (> 7)    563  Michael Potter        Ohio Northern                           28:17.8  3:32/K    JR
  153  (> 7)    615  Kevin Hanlon          St. Francis (Ill.)                      28:18.3  3:32/K    JR
  154  (> 7)    545  Eric Collins          Ohio Northern                           28:18.5  3:32/K    SO
  155  (> 7)    631  Chirs Santillo        St. Francis (Ill.)                      28:19.4  3:32/K    SO
  156     99    250  Jacob Benson          Cornerstone                             28:19.5  3:32/K    SO
  157  (> 7)    232  Phillip Scheanon      Case Western                            28:19.5  3:32/K    SO
  158  (> 7)    571  Kyle Wagner           Ohio Northern                           28:19.8  3:32/K    SR
  159    100    387  Dom Frey              Heidelberg                              28:21.9  3:33/K    FR
  160    101    513  alex krasuski         Michigan-Dearborn                       28:22.5  3:33/K    FR
  161  (> 7)    567  Daniel Sowa           Ohio Northern                           28:23.5  3:33/K    JR
  162  (> 7)    187  Nathan Brookhouse     Calvin-B                                28:24.2  3:33/K    FR
  163  (> 7)    617  Kristian Hernandez    St. Francis (Ill.)                      28:27.0  3:33/K    FR
  164  (> 7)    324  CJ Copeland           DePauw                                  28:28.4  3:34/K    SO
  165    102    251  Trevor Curtis         Cornerstone                             28:29.0  3:34/K    FR
  166    103    443  Andrew Kaylor         Kalamazoo                               28:29.9  3:34/K    22
  167  (> 7)    620  Billy Klebenow        St. Francis (Ill.)                      28:30.9  3:34/K    JR
  168  (> 7)     16  Justin Davenport      Adrian                                  28:31.2  3:34/K    FR
  169    104    516  Ryan Pickell          Michigan-Dearborn                       28:32.0  3:34/K
  170  (> 7)    629  Aaron Sanchez         St. Francis (Ill.)                      28:35.8  3:34/K    FR
  171  (> 7)    384  Tim Faiken            Heidelberg                              28:36.0  3:35/K    FR
  172  (> 7)    326  Jim Easterhouse       DePauw                                  28:36.1  3:35/K    SR
  173  (> 7)    557  Ian McKee             Ohio Northern                           28:37.1  3:35/K    SO
  174  (> 7)    163  Collin Wiersema       Bethel (Ind.)                           28:37.2  3:35/K    FR
  175  (> 7)     30  Nathan Schneider      Adrian                                  28:39.3  3:35/K    FR
  176  (> 7)    627  Jorge Pichardo        St. Francis (Ill.)                      28:40.3  3:35/K    FR
  177    105    471  Joseph Bortolotti     Lake Forest                             28:41.0  3:35/K    SO
  178  (> 7)    228  Nick Knorz            Case Western                            28:42.0  3:35/K    FR
  179  (> 7)    334  Brian Myers           DePauw                                  28:49.3  3:36/K    JR
  180  (> 7)    381  De Churchya           Heidelberg                              28:51.7  3:36/K    SO
  181  (> 7)    569  Ian Trau              Ohio Northern                           28:53.2  3:37/K    JR
  182  (> 7)    392  Brandon McNeil        Heidelberg                              28:53.8  3:37/K    SO
  183  (> 7)    568  Dan Steigerwald       Ohio Northern                           28:54.8  3:37/K    JR
  184    106     52  Charles Clark         Alma                                    28:54.8  3:37/K    22
  185  (> 7)     99  Luke Hawley           Aquinas                                 28:55.8  3:37/K    SO
  186  (> 7)    389  Sean Humphreys        Heidelberg                              28:58.8  3:37/K    FR
  187    107    440  David Demarest        Kalamazoo                               29:01.6  3:38/K    22
  188  (> 7)    542  Adam Berry            Ohio Northern                           29:02.6  3:38/K    SO
  189  (> 7)    412  Matt Frisby           Indiana Tech                            29:04.7  3:38/K    SR
  190  (> 7)    329  Jack Harbaugh         DePauw                                  29:06.4  3:38/K    FR
